top - 14:26:21 up  4:36,  1 user,  load average: 1,52, 1,15, 1,08
Tasks: 211 total,   1 running, 210 sleeping,   0 stopped,   0 zombie
%Cpu(s):  9,1 us,  3,0 sy,  0,0 ni, 83,3 id,  3,0 wa,  1,5 hi,  0,0 si,  0,0 st
MiB Mem :   2993,8 total,    153,1 free,   1905,0 used,    935,7 buff/cache
MiB Swap:   3072,0 total,   3071,7 free,      0,3 used.    755,5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    235 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 scsi_tm+
    236 root      20   0       0      0      0 S   0,0   0,0   0:00.01 scsi_eh+
    237 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    238 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 scsi_tm+
    240 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 scsi_tm+
    246 root       0 -20       0      0      0 I   0,0   0,0   0:00.47 kworker+
    248 root       0 -20       0      0      0 I   0,0   0,0   0:00.36 kworker+
    252 root       0 -20       0      0      0 I   0,0   0,0   0:01.02 kworker+
    253 root       0 -20       0      0      0 I   0,0   0,0   0:00.46 kworker+
    264 root      20   0       0      0      0 S   0,0   0,0   0:00.92 jbd2/sd+
    265 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ext4-rs+
    290 root      20   0   91608  36864  35672 S   0,0   1,2   0:00.81 systemd+
    299 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 iprt-VB+
    301 root      20   0   78068   1424   1292 S   0,0   0,0   0:00.00 lvmetad
    311 root      20   0   41712  10000   6688 S   0,0   0,3   0:02.53 systemd+
    456 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 nvkm-di+
    459 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ttm_swap
    465 dbus      20   0   11352   4820   3568 S   0,0   0,2   0:01.75 dbus-da+
    466 root      20   0  411728  19700  16984 S   0,0   0,6   0:00.47 Network+
    475 chrony    20   0   79188   3172   2800 S   0,0   0,1   0:00.02 chronyd
    478 root      20   0   26412   7344   6360 S   0,0   0,2   0:00.83 systemd+
    493 root      20   0   38480   8824   7400 S   0,0   0,3   0:00.02 cupsd
    494 root      20   0   12580   5512   4852 S   0,0   0,2   0:00.01 sshd
    496 root      20   0    7804   2868   2604 S   0,0   0,1   0:00.00 vncserv+
    497 root      20   0  237084   7172   5688 S   0,0   0,2   0:00.05 lightdm
    502 root      20   0   24900  19460   7736 S   0,0   0,6   0:01.78 vncserv+
    503 superad+  20   0   32328   9396   7720 S   0,0   0,3   0:00.14 systemd
    504 user      20   0   32188   9180   7644 S   0,0   0,3   0:00.09 systemd
    509 root      20   0  385612 111812  69512 S   0,0   3,6   9:00.95 Xorg
    510 root      20   0  239692   8160   6360 S   0,0   0,3   0:00.24 account+
    514 superad+  20   0  156216   2700     20 S   0,0   0,1   0:00.00 (sd-pam)
    515 user      20   0  156216   2708     20 S   0,0   0,1   0:00.00 (sd-pam)
    530 polkitd   20   0 1666368  22296  15964 S   0,0   0,7   0:00.71 polkitd
    533 colord    20   0  248716  13900   8820 S   0,0   0,5   0:00.18 colord
    536 root      20   0   26112  17796   2512 S   0,0   0,6   0:18.80 x2gocle+
    577 root      20   0   12368   5356   4760 S   0,0   0,2   0:00.91 vncagent
    585 root      20   0   37516  27832   3620 S   0,0   0,9   0:00.19 miniser+
    663 root      20   0  199220   8068   6608 S   0,0   0,3   0:00.03 lightdm
